  0x00000000 kFSEventStreamEventFlagNone
  0x00000001 kFSEventStreamEventFlagMustScanSubDirs
  0x00000002 kFSEventStreamEventFlagUserDropped
  0x00000004 kFSEventStreamEventFlagKernelDropped
  0x00000008 kFSEventStreamEventFlagEventIdsWrapped
  0x00000010 kFSEventStreamEventFlagHistoryDone
  0x00000020 kFSEventStreamEventFlagRootChanged
  0x00000040 kFSEventStreamEventFlagMount
  0x00000080 kFSEventStreamEventFlagUnmount
  0x00000100 kFSEventStreamEventFlagItemCreated
  0x00000200 kFSEventStreamEventFlagItemRemoved
  0x00000400 kFSEventStreamEventFlagItemInodeMetaMod
  0x00000800 kFSEventStreamEventFlagItemRenamed
  0x00001000 kFSEventStreamEventFlagItemModified
  0x00002000 kFSEventStreamEventFlagItemFinderInfoMod
  0x00004000 kFSEventStreamEventFlagItemChangeOwner
  0x00008000 kFSEventStreamEventFlagItemXattrMod
  0x00010000 kFSEventStreamEventFlagItemIsFile
  0x00020000 kFSEventStreamEventFlagItemIsDir
  0x00040000 kFSEventStreamEventFlagItemIsSymlink
  0x00080000 kFSEventStreamEventFlagOwnEvent
  0x00100000 kFSEventStreamEventFlagItemIsHardlink
  0x00200000 kFSEventStreamEventFlagItemIsLastHardlink
  0x00400000 kFSEventStreamEventFlagItemCloned
